Site,Lake,Season,Arable-1,forest-1,urban-1,Area,Perimeter,Max depth,WD,SD,DO,TP,TN,Chla,WT,Awood,Ajapo,Baeru,Bpuri,Csine,Cerat,Chaob,Cdors,Ckiie,Cplum,Csini,Cchin,Cedwa,Cdipt,Diplo,Etene,Eshen,Ephem,Gtrun,Glata,Gpost,Gprye,Hstag,Ilybi,Lambl,Lclap,Lhoff,Ludek,Mamph,Neure,Penta,Pflav,Pculi,Pakam,Rovat,Samur,Spani,Tchin,Tvili,Ttubi,Udoug,Vpisc,Vchui,Whitm
sp1,A,Spring,0.473,0.308,0.028,430025.495,4258.184808,4,1.3,0.9,9.2,0.45,1.02,12,15.1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
sp2,A,Spring,0.473,0.308,0.028,430025.495,4258.184808,4,1.28,0.9,9.3,0.46,1.08,13.5,15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
su1,A,Summer,0.473,0.308,0.028,430025.495,4258.184808,4,3.5,0.6,9.3,0.35,1.52,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12,0
su2,A,Summer,0.473,0.308,0.028,430025.495,4258.184808,4,3.2,0.6,9.4,0.38,1.47,25.8,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,10,0
au1,A,Autumn,0.473,0.308,0.028,430025.495,4258.184808,4,2.5,0.4,8.9,0.12,0.726,11,14.2,0,0,0,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
au2,A,Autumn,0.473,0.308,0.028,430025.495,4258.184808,4,2.7,0.35,9,0.11,0.84,15.9,14.3,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0
sp3,B,Spring,0.455,0.305,0.027,3368983.02,14484.62656,9.1,4.2,1.1,9.75,0.47,0.8,12.5,14.9,0,0,0,0,0,0,0,0,0,0,85,0,0,4,0,0,0,0,2,0,0,0,0,0,10.66666667,10.66666667,21.33333333,0,0,0,0,7,2,0,0,0,2,0,0,0,0,0,0,0
sp4,B,Spring,0.455,0.305,0.027,3368983.02,14484.62656,9.1,4,1.1,9.59,0.47,0.8,11.5,15,0,0,0,0,0,0,0,0,0,0,395,0,0,1.3,0,0,0,0,0,0,0,0,0,0,12,12,24,0,0,0,64,6,0,0,0,0,0,0,0,0,0,0,0,0
su3,B,Summer,0.455,0.305,0.027,3368983.02,14484.62656,9.1,7.1,1.06,9.42,0.42,1.1,26.44,21.7,0,6,12,0,4.2,0,0,12,3.8,0,0,0,0,0,0,0,0,0,0,53.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.333333333,0,0,0,0
su4,B,Summer,0.455,0.305,0.027,3368983.02,14484.62656,9.1,7.2,1.06,9.42,0.42,1.08,26.18,21.8,0,3,0,0,2,0,0,20,9,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,9.6,0,0,0,0,3,9.6,0,0,0,0,0,0,16,0,0,0,0
