Year,LandslideID,Zone,CWDID,Da_cm,Db_cm,L_m,Decay,sp,type,Mass_g
1947,16,Initiation,1,26,10,5.6,3,broadleaves,downed log,48864.33214
1947,16,Initiation,2,18,20.5,1.9,3,broadleaves,downed log,16802.22073
1947,16,Transport,3,19.2,13.5,3.2,2,broadleaves,downed log,27350.01764
1947,16,Transport,1,11,11,1.6,3,broadleaves,downed log,4607.208458
1947,16,Transport,2,12,9.8,4.6,3,broadleaves,downed log,13094.29248
1947,19,Initiation,1,7.9,18,6.5,3,broadleaves,downed log,28570.8104
1947,19,Initiation,2,5.3,13.5,5.2,3,broadleaves,downed log,12321.10962
1947,19,Transport,2,10.5,11.5,2,3,broadleaves,downed log,5766.943094
1947,19,Transport,1,14,8,2,4,broadleaves,downed log,4129.466464
1947,20,Initiation,2,10.4,9.8,2,3,broadleaves,downed log,4858.034786
1947,20,Initiation,3,11.3,6.8,2,3,broadleaves,downed log,4058.793588
1947,20,Transport,1,14.5,7.5,9.2,3,broadleaves,downed log,28279.43898
1947,20,Transport,2,8.3,18.5,6,3,broadleaves,downed log,28114.44252
1981,22,Deposition,2,11.8,16,2,3,broadleaves,downed log,9335.784494
1981,22,Deposition,4,12,12,3,3,broadleaves,downed log,10280.5478
1981,23,Deposition,2,20,17,2.3,3,broadleaves,downed log,18814.94931
1981,23,Deposition,3,13,17,2,3,broadleaves,downed log,10835.8243
1981,62,Deposition,1,16.5,12,2,3,broadleaves,downed log,9825.419382
1981,62,Deposition,2,13,11,4,3,broadleaves,downed log,13770.85724
1981,62,Deposition,3,6,20,12,3,broadleaves,downed log,57590.10572
1981,70,Deposition,1,5.2,15,11,1,broadleaves,downed log,50469.74488
2003,19,Deposition,1,20,20,6,3,broadleaves,downed log,57114.15444
2003,19,Transport,1,22,80,3,3,broadleaves,downed log,225719.8978
2003,65,Deposition,1,10,11,1.4,3,broadleaves,downed log,3678.706822
2003,482,Deposition,1,14,22,11,3,broadleaves,downed log,87606.7669
2003,482,Deposition,2,38,15,3.2,3,broadleaves,downed log,60191.97276
2003,482,Deposition,3,15,20,3,3,broadleaves,downed log,22161.4818
2003,482,Deposition,4,20,12,7,3,broadleaves,downed log,44422.12012
2003,482,Deposition,5,30,12,14,3,broadleaves,downed log,164917.121
2018,Habiu,Deposition,2,16,13,7.3,1,broadleaves,downed log,60095.41788
2018,Habiu,Deposition,3,25,26,8.9,1,broadleaves,downed log,225048.8242
2018,Habiu,Deposition,1,13,14,2,2,broadleaves,downed log,11432.92325
2018,Habiu,Deposition,4,14,2,6,2,broadleaves,downed log,16546.14019
2018,Horosato,Deposition,1,36,1,12,1,broadleaves,downed log,254917.86
2018,Horosato,Deposition,2,20,1,14,1,broadleaves,downed log,92754.54134
2018,Horosato,Deposition,3,21,31,2,1,broadleaves,downed log,53857.89366
2018,Horosato,Deposition,4,26,20,2.3,1,broadleaves,downed log,47838.40578
2018,Horosato,Deposition,5,20,10,8.4,1,broadleaves,downed log,78920.73444
2018,Horosato,Deposition,6,20,3,12,1,broadleaves,downed log,84169.15768
2018,Horosato,Deposition,7,13,20,1.8,1,broadleaves,downed log,19623.27129
2018,Takaoka,Deposition,1,11,10,4,2,broadleaves,downed log,13840.67913
2018,Takaoka,Deposition,2,24,15,2,2,broadleaves,downed log,24678.19204
2018,Towa,Deposition,2,12,5,8,1,broadleaves,downed log,25011.00452
2018,Towa,Deposition,5,15,8,7.6,1,broadleaves,downed log,41488.46164
2018,Towa,Deposition,1,6,14,7.1,2,broadleaves,downed log,24622.82932
2018,Towa,Deposition,3,13,10,6.6,2,broadleaves,downed log,27663.07812
2018,Towa,Deposition,4,19,23,4.2,2,broadleaves,downed log,58394.08642
2018,Towa,Transport,1,2,22,15.6,1,broadleaves,downed log,127766.0599
2018,Uryu,Deposition,2,14,4,5.4,1,broadleaves,downed log,20503.84008
2018,Uryu,Deposition,4,22,5,7.6,1,broadleaves,downed log,68080.47264
2018,Uryu,Deposition,5,16,6,12.3,1,broadleaves,downed log,65830.77814
2018,Uryu,Deposition,6,17,3,10,1,broadleaves,downed log,51577.0974
2018,Uryu,Deposition,1,13,2,5.9,2,broadleaves,downed log,14128.72195
2018,Uryu,Deposition,3,23,5,10.1,2,broadleaves,downed log,79126.90146
2018,Uryu,Deposition,7,18,12,3.7,2,conifers,downed log,26784.06442
2018,Uryu,Deposition,8,15,19,3.7,2,conifers,downed log,33818.26316
2018,Uryu,Deposition,9,15,19,3.7,2,conifers,downed log,33818.26316
2018,Uryu,Deposition,10,15,19,3.7,2,conifers,downed log,33818.26316
