Year,LandslideID,Zone,QuadratID,Angle,O_depth,Moisture_a,Moisture_b,Moisture_c,Moisture_d,Moisture_mean
2003,65,Initiation,A,34,0,12,8,12,11,10.75
2003,65,Initiation,B,32,0,10,9,11,15,11.25
2003,65,Initiation,C,28,0,7,6,8,8,7.25
2003,65,Initiation,D,29,0,9,11,10,8,9.5
2003,65,Transport,A,20,0,12,14,6,16,12
2003,65,Transport,B,26,1,14,12,15,10,12.75
2003,65,Transport,C,26,0,6,7,9,7,7.25
2003,65,Transport,D,21,1,17,11,18,28,18.5
2003,65,Deposition,A,21,2,29,48,34,44,38.75
2003,65,Deposition,B,20,2,15,19,10,34,19.5
2003,65,Deposition,C,22,1,24,41,19,37,30.25
2003,65,Deposition,D,17,2,13,15,17,14,14.75
1981,28,Initiation,A,28,5,12,11,12,7,10.5
1981,28,Initiation,B,28,5,18,9,18,10,13.75
1981,28,Initiation,C,34,3,14,10,9,8,10.25
1981,28,Initiation,D,28,3,14,12,17,12,13.75
1981,28,Transport,A,22,5,36,31,38,21,31.5
1981,28,Transport,B,33,5,47,48,32,28,38.75
1981,28,Transport,C,26,5,19,15,20,16,17.5
1981,28,Transport,D,32,5,54,53,51,48,51.5
1981,28,Deposition,A,22,6,11,7,10,11,9.75
1981,28,Deposition,B,38,7,14,14,35,21,21
1981,28,Deposition,C,18,5,30,18,24,35,26.75
1981,28,Deposition,D,18,8,10,16,17,15,14.5
2018,Uryu,Initiation,A,33,0,6,6,6,6,6
2018,Uryu,Initiation,B,17,0,7,8,9,8,8
2018,Uryu,Initiation,C,20,0,8,8,10,12,9.5
2018,Uryu,Initiation,D,34,0,6,6,7,6,6.25
2018,Uryu,Transport,A,13,0,14,14,14,20,15.5
2018,Uryu,Transport,B,15,0,10,12,13,9,11
2018,Uryu,Transport,C,25,0,19,24,25,29,24.25
2018,Uryu,Transport,D,13,0,15,13,16,9,13.25
2018,Uryu,Deposition,A,7,0,7,10,12,9,9.5
2018,Uryu,Deposition,B,3,0,14,17,8,10,12.25
2018,Uryu,Deposition,C,5,0,8,9,15,14,11.5
2018,Uryu,Deposition,D,2,0,13,10,8,10,10.25
2018,Horosato,Initiation,A,32,0,8,7,8,9,8
2018,Horosato,Initiation,B,30,0,8,10,11,11,10
2018,Horosato,Initiation,C,24,0,7,11,9,11,9.5
2018,Horosato,Initiation,D,31,0,10,9,8,8,8.75
2018,Horosato,Transport,A,18,0,8,9,14,9,10
2018,Horosato,Transport,B,24,0,15,18,13,20,16.5
2018,Horosato,Transport,C,27,0,23,24,21,8,19
2018,Horosato,Transport,D,21,0,27,24,10,22,20.75
2018,Horosato,Deposition,A,4,0,15,12,16,17,15
2018,Horosato,Deposition,B,14,0,16,26,18,18,19.5
2018,Horosato,Deposition,C,0,0,8,17,17,10,13
2018,Horosato,Deposition,D,2,0,15,11,13,10,12.25
2018,Takaoka,Initiation,A,24,0,7,7,9,7,7.5
2018,Takaoka,Initiation,B,25,0,9,8,9,10,9
2018,Takaoka,Initiation,C,30,0,5,8,14,16,10.75
2018,Takaoka,Initiation,D,22,0,11,7,10,7,8.75
2018,Takaoka,Transport,A,17,0,15,10,16,19,15
2018,Takaoka,Transport,B,20,0,20,10,19,16,16.25
2018,Takaoka,Transport,C,13,0,25,19,23,18,21.25
2018,Takaoka,Transport,D,11,0,12,19,14,12,14.25
2018,Takaoka,Deposition,A,13,0,16,21,22,19,19.5
2018,Takaoka,Deposition,B,3,0,21,13,18,21,18.25
