Year,LandslideID,Zone,Type,Mass_g,bagmass_g,samplemass_g,angle_mean,Carbon_%,Nitrogen_%,C_mass_mgha,N_mass_mgha
1947,16,Initiation,L,90.4,31.4,59,32.25,39.76,1.45,4.438004644,0.161848761
1947,16,Initiation,FH,0,31.4,0,32.25,0,0,0,0
1947,16,Initiation,Twig,0,31.4,0,32.25,0,0,0,0
1947,16,Initiation,Mineral soil (0-5cm),54.7,2.8,51.9,32.25,12.63,0.84,32.77485,2.1798
1947,16,Transport,L,97.4,31.4,66,29,39.67,1.39,4.78968398,0.167826083
1947,16,Transport,FH,103.8,31.4,72.4,29,28.99,1.29,3.83961346,0.170855514
1947,16,Transport,Twig,46.1,31.4,14.7,29,49.08,0.79,1.319844031,0.021244433
1947,16,Transport,Mineral soil (0-5cm),28.5,2.8,25.7,29,15.73,0.94,20.21305,1.2079
1947,19,Initiation,L,99.6,31.4,68.2,37.5,42.68,0.88,5.870324562,0.12103762
1947,19,Initiation,FH,127.6,31.4,96.2,37.5,27.56,1.03,5.346968349,0.199832271
1947,19,Initiation,Twig,57.1,31.4,25.7,37.5,49.89,0.48,2.585829914,0.0248787
1947,19,Initiation,Mineral soil (0-5cm),49.3,2.8,46.5,37.5,6.89,0.49,16.01925,1.13925
1947,19,Transport,L,80.2,31.4,48.8,31.25,39.09,1.27,3.570130799,0.115990435
1947,19,Transport,FH,59.4,31.4,28,31.25,33.54,0.96,1.757598709,0.05030694
1947,19,Transport,Twig,0,31.4,0,31.25,0,0,0,0
1947,19,Transport,Mineral soil (0-5cm),25.9,2.8,23.1,31.25,13.92,0.81,16.0776,0.93555
1947,20,Initiation,L,51,31.4,19.6,32.75,43.29,1.26,1.614163409,0.046981887
1947,20,Initiation,FH,0,31.4,0,32.75,0,0,0,0
1947,20,Initiation,Twig,36.7,31.4,5.3,32.75,50.2,0.55,0.506154879,0.005545522
1947,20,Initiation,Mineral soil (0-5cm),74.2,2.8,71.4,32.75,5.03,0.32,17.9571,1.1424
1947,20,Transport,L,60.7,31.4,29.3,29.25,45.75,1.34,2.4581889,0.071999413
1947,20,Transport,FH,105.8,31.4,74.4,29.25,25.83,1.03,3.52414587,0.140529239
1947,20,Transport,Twig,17.9,2.8,15.1,29.25,47.43,0.21,1.313368532,0.005815041
1947,20,Transport,Mineral soil (0-5cm),56.3,2.8,53.5,29.25,5.16,0.35,13.803,0.93625
1947,30,Initiation,L,80.2,31.4,48.8,32.5,28.32,0.74,2.621825975,0.068508165
1947,30,Initiation,FH,0,31.4,0,32.5,0,0,0,0
1947,30,Initiation,Twig,42.8,31.4,11.4,32.5,50.32,0.75,1.088269041,0.016220226
1947,30,Initiation,Mineral soil (0-5cm),68.8,2.8,66,32.5,2.44,0.3,8.052,0.99
1947,30,Transport,L,60.4,31.4,29,31.5,30.24,0.89,1.645636763,0.048433093
1947,30,Transport,FH,0,31.4,0,31.5,0,0,0,0
1947,30,Transport,Twig,37.1,31.4,5.7,31.5,48.98,0.99,0.523899317,0.010589227
1947,30,Transport,Mineral soil (0-5cm),45.6,2.8,42.8,31.5,9.53,0.65,20.3942,1.391
1947,32,Initiation,L,54.1,31.4,22.7,29,45.23,1.36,1.878249011,0.056476203
1947,32,Initiation,FH,0,31.4,0,29,0,0,0,0
1947,32,Initiation,Twig,0,31.4,0,29,0,0,0,0
1947,32,Initiation,Mineral soil (0-5cm),65.4,2.8,62.6,29,4.27,0.32,13.3651,1.0016
1947,32,Transport,L,63.6,31.4,32.2,24.5,43.42,1.18,2.458344626,0.066808997
1947,32,Transport,FH,70.4,31.4,39,24.5,25.27,1.42,1.73287375,0.097375573
1947,32,Transport,Twig,0,31.4,0,24.5,0,0,0,0
