Year,LandslideID,Zone,QuadratID,Species_Jp,Coverage_%,Max_H_cm,Species type,Moisture type
2003,65,Initiation,A,Otokoeshi,20,10,Open land species,Moderate
2003,65,Initiation,A,Akitabuki,10,25,Generalist species,Moderate
2003,65,Initiation,A,Usagishida,5,15,Forest species,Moderate
2003,65,Initiation,A,Yabumame,5,20,Open land species,Moderate
2003,65,Initiation,A,Inutoubana,1,5,Forest species,Wet
2003,65,Initiation,A,Violets SP3,1,1,Unknown,Unknown
2003,65,Initiation,A,Hangonsou,1,30,Open land species,Dry
2003,65,Initiation,B,Miyakozasa,30,60,Generalist species,Moderate
2003,65,Initiation,B,Akitabuki,40,60,Generalist species,Moderate
2003,65,Initiation,B,Suge SP,60,30,Unknown,Unknown
2003,65,Initiation,B,Yobusumasou,1,20,Forest species,Wet
2003,65,Initiation,B,Otokoeshi,10,10,Open land species,Moderate
2003,65,Initiation,B,Hangonsou,15,90,Open land species,Dry
2003,65,Initiation,B,Yabumame,10,30,Open land species,Moderate
2003,65,Initiation,B,Usagishida,1,20,Forest species,Moderate
2003,65,Initiation,B,Yachidamo,1,20,Woody species,Woody species
2003,65,Initiation,B,Inutoubana,1,20,Forest species,Wet
2003,65,Initiation,B,Koichiyakusou,1,1,Forest species,Moderate
2003,65,Initiation,B,Kumaichigo,1,10,Woody species,Woody species
2003,65,Initiation,B,Himejoon,1,40,Open land species,Dry
2003,65,Initiation,B,Kikumugura,1,30,Forest species,Moderate
2003,65,Initiation,B,Otogirisou,1,20,Open land species,Moderate
2003,65,Initiation,B,Harunire,1,20,Woody species,Woody species
2003,65,Initiation,B,Taganeso,1,20,Open land species,Dry
2003,65,Initiation,C,Akitabuki,75,50,Generalist species,Moderate
2003,65,Initiation,C,Kumaichigo,5,20,Woody species,Woody species
2003,65,Initiation,C,Inutoubana,10,20,Forest species,Wet
2003,65,Initiation,C,Yabumame,5,15,Open land species,Moderate
2003,65,Initiation,C,Legumines sp1,1,5,Unknown,Unknown
2003,65,Initiation,C,Mizunara,1,10,Woody species,Woody species
2003,65,Initiation,D,Akitabuki,60,50,Generalist species,Moderate
2003,65,Initiation,D,Miyakozasa,5,30,Generalist species,Moderate
2003,65,Initiation,D,Kumaichigo,1,20,Woody species,Woody species
2003,65,Initiation,D,Otokoeshi,5,25,Open land species,Moderate
2003,65,Initiation,D,Yabumame,5,20,Open land species,Moderate
2003,65,Initiation,D,Kikumugura,1,5,Forest species,Moderate
2003,65,Initiation,D,Suge SP,1,20,Unknown,Unknown
2003,65,Initiation,D,Daikonsou,10,25,Forest species,Wet
