year,boxcoidx,indidx,sex,date,age,broodsize,bsm,visitid,IVI,IFI,IFI_t1,IFI_t2,load,fecal,wtbird,wtbird_delta,begAvg,begAvg_t1,begAvg_t2,begAvg_t3
1,2,2,M,29,7,4,R,297,163,174,NA,NA,NA,1,13.11153846,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,299,844,849,6,174,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,300,245,293,849,6,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,305,498,5,243,210,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,306,185,210,5,243,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,308,483,171,320,210,NA,1,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,313,231,27,71,65,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,317,328,39,148,58,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,321,360,118,123,92,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,322,117,127,118,123,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,326,162,22,65,83,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,329,128,38,71,29,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,331,53,11,50,38,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,338,737,117,138,67,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,339,228,240,117,138,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,341,242,7,241,240,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,350,652,190,242,229,NA,1,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,357,951,58,142,101,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,362,565,222,128,40,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,374,1172,77,83,50,0.1,0,12.8,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,378,302,10,122,59,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,380,93,48,57,10,0.2,0,12.4,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,381,82,94,48,57,0.1,0,12.8,-0.4,NA,NA,NA,NA
1,2,2,M,29,7,4,R,383,85,4,91,94,NA,1,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,385,99,88,18,4,NA,1,12.81153846,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,391,348,32,160,81,0.1,0,12.7,0.111538462,NA,NA,NA,NA
1,2,2,M,29,7,4,R,395,726,426,76,148,NA,1,12.61153846,0.088461538,NA,NA,NA,NA
1,2,2,M,29,7,4,R,396,97,104,426,76,0.1,0,12.5,0.111538462,NA,NA,NA,NA
1,2,2,M,29,7,4,R,397,141,158,104,426,0,0,12.6,-0.1,NA,NA,NA,NA
1,2,2,M,29,7,4,R,399,96,73,32,158,0,0,12.7,-0.1,NA,NA,NA,NA
1,2,2,M,29,7,4,R,402,105,10,73,29,0.1,0,12.6,0.1,NA,NA,NA,NA
1,2,2,M,29,7,4,R,406,178,9,78,63,NA,0,NA,NA,NA,NA,NA,NA
1,2,2,M,29,7,4,R,407,59,66,9,78,0.1,0,12.6,NA,NA,NA,NA,NA
